Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.068 45/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.068 45/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.069 46/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.069 46/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.070 47/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.070 47/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.071 48/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.071 48/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.072 49/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.072 49/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.073 50/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.073 50/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.074 51/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.074 51/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.075 52/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.075 52/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.076 53/101 | Building BVH
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.076 53/101 | Building OptiX acceleration structure
Fra:1 Mem:13.51M (Peak 41.48M) | Time:00:00.16 | Mem:0.09M, Peak:0.10M | Scene, ViewLayer | Updating Geometry BVH Cube.077 54/101 | Building BVH
