Blender 4.5.9 LTS (hash 8bf95cbd38d1 built 2026-04-21 01:31:15)
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.031 32/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.032 33/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.032 33/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.033 34/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.06M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.033 34/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.034 35/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.034 35/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.035 36/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.035 36/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.036 37/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.07M | Scene, ViewLayer | Updating Geometry BVH Cube.036 37/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.037 38/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.037 38/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.038 39/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.038 39/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.039 40/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.039 40/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.040 41/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.040 41/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.041 42/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.07M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.041 42/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.08M | Scene, ViewLayer | Updating Geometry BVH Cube.042 43/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.042 43/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH girih.star_mesh 105/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH girih.star_mesh 105/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.043 44/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.043 44/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.044 45/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.044 45/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.045 46/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.045 46/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.046 47/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.046 47/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.047 48/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.047 48/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.048 49/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.08M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.048 49/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.049 50/106 | Building BVH
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.049 50/106 | Building OptiX acceleration structure
Fra:1 Mem:15.09M (Peak 43.06M) | Time:00:00.16 | Mem:0.09M, Peak:0.09M | Scene, ViewLayer | Updating Geometry BVH Cube.050 51/106 | Building BVH
